Integer identifying grain,Number of measurement points in the grain,Area of grain in square microns,Diameter of grain in microns,ASTM grain size
1,3,0.00935,0.11,23.7
2,769,2.40E+//0-,1.75,15.7
3,130,0.405,0.72,18.3
4,833,2.60E+//0-,1.82,15.6
5,1535,4.79E+//0-,2.47,14.7
6,2178,6.79E+//0-,2.94,14.2
7,4,0.0125,0.13,23.3
8,304,0.948,1.1,17.1
9,500,1.56E+//0-,1.41,16.3
10,5520,1.72E+//0-,4.68,12.9
11,6182,1.93E+//0-,4.95,12.7
12,107,0.334,0.65,18.6
13,730,2.28E+//0-,1.7,15.8
14,69,0.215,0.52,19.2
15,24890,7.76E+//0-,9.94,10.7
16,53,0.165,0.46,19.6
17,4250,1.33E+//0-,4.11,13.3
18,2437,7.60E+//0-,3.11,14.1
19,2648,8.26E+//0-,3.24,13.9
20,1014,3.16E+//0-,2.01,15.3
21,6786,2.12E+//0-,5.19,12.6
22,3453,1.08E+//0-,3.7,13.6
23,214,0.667,0.92,17.6
24,836,2.61E+//0-,1.82,15.6
25,3397,1.06E+//0-,3.67,13.6
26,5464,1.70E+//0-,4.66,12.9
27,2543,7.93E+//0-,3.18,14
28,1867,5.82E+//0-,2.72,14.4
29,340,1.06E+//0-,1.16,16.9
31,7451,2.32E+//0-,5.44,12.4
32,27,0.0842,0.33,20.5
33,1306,4.07E+//0-,2.28,15
34,5922,1.85E+//0-,4.85,12.8
35,2868,8.94E+//0-,3.37,13.8
37,2,0.00624,0.09,24.3
38,2171,6.77E+//0-,2.94,14.2
41,2684,8.37E+//0-,3.26,13.9
42,73,0.228,0.54,19.1
43,11731,3.66E+//0-,6.82,11.8
44,1672,5.21E+//0-,2.58,14.6
45,1890,5.89E+//0-,2.74,14.4
47,7504,2.34E+//0-,5.46,12.4
49,1421,4.43E+//0-,2.38,14.8
50,1015,3.16E+//0-,2.01,15.3
51,813,2.54E+//0-,1.8,15.6
52,13525,4.22E+//0-,7.33,11.6
53,117,0.365,0.68,18.4
54,17,0.053,0.26,21.2
56,3136,9.78E+//0-,3.53,13.7
57,4969,1.55E+//0-,4.44,13
58,95,0.296,0.61,18.7
59,23,0.0717,0.3,20.8
60,24388,7.60E+//0-,9.84,10.7
62,850,2.65E+//0-,1.84,15.6
64,1386,4.32E+//0-,2.35,14.9
66,3,0.00935,0.11,23.7
67,4146,1.29E+//0-,4.06,13.3
70,5343,1.67E+//0-,4.61,12.9
76,64398,2.01E+//0-,15.99,9.3
79,1614,5.03E+//0-,2.53,14.6
81,16773,5.23E+//0-,8.16,11.3
82,1912,5.96E+//0-,2.75,14.4
83,5124,1.60E+//0-,4.51,13
85,11,0.0343,0.21,21.8
87,658,2.05E+//0-,1.62,15.9
89,3095,9.65E+//0-,3.51,13.7
92,1544,4.81E+//0-,2.48,14.7
93,4355,1.36E+//0-,4.16,13.2
95,1912,5.96E+//0-,2.75,14.4
100,3055,9.53E+//0-,3.48,13.7
103,124,0.387,0.7,18.4
104,3993,1.25E+//0-,3.98,13.3
107,11143,3.47E+//0-,6.65,11.9
108,2,0.00624,0.09,24.3
118,15605,4.87E+//0-,7.87,11.4
119,1365,4.26E+//0-,2.33,14.9
120,9638,3.01E+//0-,6.19,12.1
122,6,0.0187,0.15,22.7
123,102,0.318,0.64,18.6
124,2586,8.06E+//0-,3.2,14
131,3,0.00935,0.11,23.7
132,2,0.00624,0.09,24.3
