Phase Identity,Integer identifying grain,Number of measurement points in the grain,Area of grain in square microns,Diameter of grain in microns,ASTM grain size
1,9,2,0.00624,0.09,24.3
1,78,2,0.00624,0.09,24.3
1,117,2,0.00624,0.09,24.3
1,118,2,0.00624,0.09,24.3
1,131,2,0.00624,0.09,24.3
1,149,3,0.00935,0.11,23.7
1,154,3,0.00935,0.11,23.7
1,181,4,0.0125,0.13,23.3
1,184,2,0.00624,0.09,24.3
1,234,2,0.00624,0.09,24.3
1,259,13,0.0405,0.23,21.6
1,279,2,0.00624,0.09,24.3
1,280,2,0.00624,0.09,24.3
1,282,2,0.00624,0.09,24.3
1,283,2,0.00624,0.09,24.3
1,297,2,0.00624,0.09,24.3
1,310,2,0.00624,0.09,24.3
1,313,2,0.00624,0.09,24.3
1,321,3,0.00935,0.11,23.7
1,323,6,0.0187,0.15,22.7
1,338,2,0.00624,0.09,24.3
1,357,2,0.00624,0.09,24.3
1,363,2,0.00624,0.09,24.3
1,373,2,0.00624,0.09,24.3
1,379,2,0.00624,0.09,24.3
1,385,2,0.00624,0.09,24.3
1,412,2,0.00624,0.09,24.3
1,451,2,0.00624,0.09,24.3
1,465,2,0.00624,0.09,24.3
1,493,3,0.00935,0.11,23.7
1,503,2,0.00624,0.09,24.3
1,532,2,0.00624,0.09,24.3
1,557,2,0.00624,0.09,24.3
1,605,2,0.00624,0.09,24.3
1,608,3,0.00935,0.11,23.7
1,630,2,0.00624,0.09,24.3
1,632,3,0.00935,0.11,23.7
1,634,2,0.00624,0.09,24.3
1,637,3,0.00935,0.11,23.7
1,640,3,0.00935,0.11,23.7
1,647,2,0.00624,0.09,24.3
1,662,2,0.00624,0.09,24.3
1,664,2,0.00624,0.09,24.3
1,696,2,0.00624,0.09,24.3
1,703,2,0.00624,0.09,24.3
1,712,2,0.00624,0.09,24.3
1,715,2,0.00624,0.09,24.3
1,720,2,0.00624,0.09,24.3
1,732,2,0.00624,0.09,24.3
1,733,2,0.00624,0.09,24.3
1,757,2,0.00624,0.09,24.3
1,761,2,0.00624,0.09,24.3
1,779,2,0.00624,0.09,24.3
1,788,2,0.00624,0.09,24.3
1,831,2,0.00624,0.09,24.3
1,875,2,0.00624,0.09,24.3
1,881,3,0.00935,0.11,23.7
1,885,2,0.00624,0.09,24.3
1,918,2,0.00624,0.09,24.3
1,941,2,0.00624,0.09,24.3
1,942,2,0.00624,0.09,24.3
1,965,5,0.0156,0.14,23
1,987,2,0.00624,0.09,24.3
1,991,2,0.00624,0.09,24.3
1,997,3,0.00935,0.11,23.7
1,1015,2,0.00624,0.09,24.3
1,1037,2,0.00624,0.09,24.3
1,1058,2,0.00624,0.09,24.3
1,1067,2,0.00624,0.09,24.3
1,1068,2,0.00624,0.09,24.3
1,1072,2,0.00624,0.09,24.3
1,1078,2,0.00624,0.09,24.3
1,1086,2,0.00624,0.09,24.3
1,1087,2,0.00624,0.09,24.3
1,1098,2,0.00624,0.09,24.3
1,1100,2,0.00624,0.09,24.3
1,1101,2,0.00624,0.09,24.3
1,1121,2,0.00624,0.09,24.3
1,1142,2,0.00624,0.09,24.3
1,1145,2,0.00624,0.09,24.3
1,1203,2,0.00624,0.09,24.3
1,1206,2,0.00624,0.09,24.3
1,1254,2,0.00624,0.09,24.3
1,1269,4,0.0125,0.13,23.3
1,1279,2,0.00624,0.09,24.3
1,1281,2,0.00624,0.09,24.3
1,1312,2,0.00624,0.09,24.3
1,1320,2,0.00624,0.09,24.3
1,1328,2,0.00624,0.09,24.3
1,1330,2,0.00624,0.09,24.3
1,1341,2,0.00624,0.09,24.3
1,1344,2,0.00624,0.09,24.3
1,1358,2,0.00624,0.09,24.3
1,1379,2,0.00624,0.09,24.3
1,1387,2,0.00624,0.09,24.3
1,1395,2,0.00624,0.09,24.3
1,1425,2,0.00624,0.09,24.3
1,1430,2,0.00624,0.09,24.3
1,1458,2,0.00624,0.09,24.3
1,1459,2,0.00624,0.09,24.3
1,1470,2,0.00624,0.09,24.3
1,1473,2,0.00624,0.09,24.3
1,1490,2,0.00624,0.09,24.3
1,1491,2,0.00624,0.09,24.3
1,1508,3,0.00935,0.11,23.7
1,1517,5,0.0156,0.14,23
1,1530,2,0.00624,0.09,24.3
1,1557,2,0.00624,0.09,24.3
1,1560,3,0.00935,0.11,23.7
1,1566,2,0.00624,0.09,24.3
1,1587,2,0.00624,0.09,24.3
1,1618,2,0.00624,0.09,24.3
1,1623,2,0.00624,0.09,24.3
1,1628,3,0.00935,0.11,23.7
1,1635,2,0.00624,0.09,24.3
1,1655,2,0.00624,0.09,24.3
1,1659,2,0.00624,0.09,24.3
1,1663,2,0.00624,0.09,24.3
1,1674,2,0.00624,0.09,24.3
1,1677,2,0.00624,0.09,24.3
1,1689,3,0.00935,0.11,23.7
1,1702,2,0.00624,0.09,24.3
1,1708,2,0.00624,0.09,24.3
1,1711,2,0.00624,0.09,24.3
1,1725,4,0.0125,0.13,23.3
1,1738,2,0.00624,0.09,24.3
1,1756,2,0.00624,0.09,24.3
1,1757,2,0.00624,0.09,24.3
1,1758,2,0.00624,0.09,24.3
1,1764,2,0.00624,0.09,24.3
1,1769,2,0.00624,0.09,24.3
1,1776,2,0.00624,0.09,24.3
1,1788,3,0.00935,0.11,23.7
1,1811,2,0.00624,0.09,24.3
1,1818,2,0.00624,0.09,24.3
1,1830,2,0.00624,0.09,24.3
1,1834,2,0.00624,0.09,24.3
1,1837,2,0.00624,0.09,24.3
1,1865,2,0.00624,0.09,24.3
1,1866,2,0.00624,0.09,24.3
1,1867,3,0.00935,0.11,23.7
1,1891,2,0.00624,0.09,24.3
1,1911,2,0.00624,0.09,24.3
1,1929,3,0.00935,0.11,23.7
