Sentence,Words
1,27
2,16
3,7
4,47
5,39
6,17
7,9
8,8
9,10
10,15
11,17
12,12
13,13
14,94
15,23
16,22
17,15
18,10
19,22
20,13
21,37
22,68
23,9
24,22
25,20
26,17
27,32
28,22
29,19
30,6
31,26
32,19
33,23
34,11
35,36
36,18
37,13
38,14
39,7
40,32
41,10
42,7
43,15
44,14
45,6
46,41
47,15
48,28
49,24
50,16
51,28
52,43
53,21
54,41
55,25
56,14
57,8
58,6
59,17
60,20
61,21
62,10
63,8
64,108
65,4
66,40
67,12
68,10
69,14
70,32
71,9
72,8
73,13
74,25
75,7
76,39
77,6
78,10
79,22
80,8
81,52
82,38
83,16
84,25
85,44
86,18
87,23
88,9
89,21
90,8
91,22
92,14
93,16
94,20
95,28
96,15
97,24
98,9
99,18
100,6
